path|transcript
thesis-asr/audios/audio01_00.flac|naku naman ang hirap nito pero sige na nga subu subukan ko
thesis-asr/audios/audio01_01.flac|ayon sa kwento ng mga matatanda dito sa batangas noong unang panahon may isang magiting na batangueno na nagtagumpay sa pakikipaglaban sa mga kastila
thesis-asr/audios/audio01_02.flac|siya ay isang mandirigma na matapang at mayroong malaking puso para sa kanyang bayan
thesis-asr/audios/audio01_03.flac|sa bawat tagumpay niya lagi niyang sinasabi mabuhay ang batangas
thesis-asr/audios/audio01_04.flac|kaya hanggang ngayon kapag may nagawa kaming maganda dito sa bayan namin lagi namin sinasabi ang kanyang pangalan at pinupuri namin ang kanyang kabayanihan
thesis-asr/audios/audio01_05.flac|hindi laang naman pakikipaglaban ang sikat sa batangas
thesis-asr/audios/audio01_06.flac|sikat din ang mga pagkaing gawa dito tulad ng mga bulalo goto lomi
thesis-asr/audios/audio01_07.flac|at pati na rin ang mga festival tulad ng parada ng lechon at sublian festival
thesis-asr/audios/audio01_08.flac|at syempre hindi mawawala ang salitang eh sa bawat usapan ng mga taga batangas
thesis-asr/audios/audio01_09.flac|ganun talaga ang tono namin tono namin eh
thesis-asr/audios/audio01_10.flac|pero wag kayong mag alala hindi naman kami galit
thesis-asr/audios/audio01_11.flac|masayahin laang talaga ang mga batangueno
thesis-asr/audios/audio01_12.flac|kaya kung gusto ninyong magpakain sa batangas punta na kayo punta na kayo dito at siguradong hindi kayo magsisisi
thesis-asr/audios/audio01_13.flac|marami kayong makikilalang magagandang tao dine katulad ko
thesis-asr/audios/audio01_14.flac|sa totoo laang may nakalimutan akong idagdag idagdag kanina sa ating mga salita dito sa batangas
thesis-asr/audios/audio01_15.flac|hindi lang pala ang eh ang laging nasa dulo ng sinasabi namin
thesis-asr/audios/audio01_16.flac|minsan mara maririnig niyo maririnig niyo rin sa amin ang diba kaya naman kaya nga naman parang ganito
thesis-asr/audios/audio01_17.flac|galing mo talaga diba o kaya naman ang sarap naman nito ano nga
thesis-asr/audios/audio01_18.flac|at saka hindi laang sa pakikipag usap namin lalabas ang ating batangueno accent
thesis-asr/audios/audio01_19.flac|pati pagkain namin ay kakaibang
thesis-asr/audios/audio01_20.flac|tunog din parang ganito kapag kumakain kami ng goto mabibilis ang pagtuloy tuloy ng aming dila
thesis-asr/audios/audio01_21.flac|ganyan din sa pagkain ng lomi may kaunting ngalay ng bibig kapag dinudukot namin ang malalaking kahig ng lomi
thesis-asr/audios/audio01_22.flac|pero wag kayong mag alala ang hindi namin hindi hindi naman lahat ng taga batangas ganito magsalita at kumain
thesis-asr/audios/audio01_23.flac|mayroon din kaming mga taga doon sa kabundukan na may kakaibang salita at kultura
thesis-asr/audios/audio01_24.flac|sa totoo laang masarap talagang makipag ugnayan sa ibat ibang tao dahil doon mo laang maiintindihan ang ibat ibang kultura at wika
thesis-asr/audios/audio01_25.flac|at hindi lang sa pakikipaglaban pati na rin sa musika kilala ang batangas sikat ang mga awitin ng mga batangueno tulad ng sa kabukiran leron leron sinta
thesis-asr/audios/audio01_26.flac|mayroon din kaming mga sayaw tulad ng subli at tinikling
thesis-asr/audios/audio01_27.flac|kapag may okasyon dito sa bayan hindi mawawala ang tugtugan at sayawan
thesis-asr/audios/audio01_28.flac|sa palengke naman hindi mawawala ang tawanan
thesis-asr/audios/audio01_29.flac|mahilig kami sa baratihan at masaya kami kapag nakakakuha ng mababang presyo sa mga bilihin
thesis-asr/audios/audio01_30.flac|pero hindi naman kami hindi naman kami sakim marunong din kami magbigay sa mga nangangailangan
