path|transcript
thesis-asr/audios/audio16_01.flac|ganire din kahirap ang sistema ng edukasyon at kalusugan sa bansa
thesis-asr/audios/audio14_11.flac|are din ang dahilan kung bakit dapat nating alagaan ang ating mga tradisyon at kultura upang mapangalagaan ang ating pagkakakilanlan bilang isang bansa
thesis-asr/audios/audio05_33.flac|mahal namin ang ating bayan at ang kababayan kaya lagi namin itong ipagtatanggol at ipaglalaban
thesis-asr/audios/audio11_02.flac|are din ang dahilan kung bakit maraming kabataan ang hindi nakakapag aral at maraming mahihirap ang hindi nakakatanggap ng sapat na serbisyong pangkalusugan
thesis-asr/audios/audio03_01.flac|hindi laang basta basta magluluto ng pagkain dahil kailangan ng tamang proseso at tamang timpla para magustuhan ng mga taong kakain nito
thesis-asr/audios/audio11_11.flac|are din ang dahilan kung bakit dapat nating alagaan ang ating mga tradisyon at kultura upang mapangalagaan ang ating pagkakakilanlan bilang isang bansa
thesis-asr/audios/audio11_05.flac|are din ang dahilan kung bakit dapat nating ipagpatuloy ang ating pagkilos upang mas mapagtagumpayan ang mga hamon na ating kinakaharap
thesis-asr/audios/audio02_02.flac|ito rin ang dahilan kung bakit maraming kabataan ang hindi nakakapag aral at maraming mahihirap ang hindi nakakatanggap ng sapat na serbisyong pangkalusugan
thesis-asr/audios/audio18_04.flac|ganire kahaba ang ating kasaysayan ng pakikipaglaban para sa kalayaan at demokrasya
thesis-asr/audios/audio07_03.flac|ngunit hindi rin natin dapat kalimutan ang mga positibong bagay na dine laang din makikita
thesis-asr/audios/audio22_10.flac|ganire kahalaga ang bawat isa sa atin at dine laang natin mapapakita ang tunay na pagmamahal sa ating bansa at kapwa pilipino
thesis-asr/audios/audio22_15.flac|ngunit sa kabila ng lahat ng are mayroon pa rin tayong mga dahilan upang magpatuloy at magpakatatag sa paglalakbay natin bilang isang bansa
thesis-asr/audios/audio15_00.flac|dine sa pilipinas hindi laang mga tanawin at bundok ang nakikita dine laang
thesis-asr/audios/audio23_02.flac|are rin ang dahilan kung bakit maraming kabataan ang hindi nakakapag aral at maraming mahihirap ang hindi nakakatanggap ng sapat na serbisyong pangkalusugan
thesis-asr/audios/audio23_15.flac|ngunit sa kabila ng lahat na are mayroon pa rin tayong mga dahilan upang magpatuloy at magpakatatag sa paglalakbay natin bilang isang bansa
thesis-asr/audios/audio14_07.flac|ganire kahusay ang mga atleta natin sa mga internasyonal na pan patimpalak
thesis-asr/audios/audio20_11.flac|are din ang dahilan kung bakit dapat nating alagaan ang ating mga tradisyon at kultura upang mapangalagaan ang ating pagkakakilanlan bilang isang bansa
thesis-asr/audios/audio03_03.flac|kahit sino ay pwedeng magluto ng masarap na pagkain sa kanilang tahanan
thesis-asr/audios/audio05_07.flac|pati na rin ang mga festival tulad ng parada ng lechon at sublian festival
thesis-asr/audios/audio24_08.flac|are rin ang dahilan kung bakit dapat nating suportahan ang ating mga atleta at iba pang nagbibigay ng karangalan sa ating bansa
thesis-asr/audios/audio11_00.flac|dine sa pilipinas hindi laang mga tanawin at bundok ang nakikita dine laang
thesis-asr/audios/audio16_00.flac|hindi laang mga tanawin at bundok ang nakikita dine lang
thesis-asr/audios/audio02_04.flac|ganito kahaba ang ating kasaysayan ng pakikipaglaban para sa kalayaan at demokrasya
thesis-asr/audios/audio01_12.flac|kaya kung gusto ninyong magpakain sa batangas punta na kayo punta na kayo dito at siguradong hindi kayo magsisisi
thesis-asr/audios/audio17_12.flac|dagdag pa natin ang katotohanan na dine rin sa pilipinas mayroon tayong mga kultura at  tradisyon na are lamang are laang naman ang nagbibigay kulay at kasaysayan sa ating bansa
thesis-asr/audios/audio07_16.flac|ang tunay na ganda at halaga ng pilipinas ay nakikita natin dine lamang natin mapapansin at ate rin ate rin at are rin ang nagbibigay lakas at pag asa sa ating lahat
thesis-asr/audios/audio17_08.flac|are din ang dahilan kung bakit dapat nating suportahan ang ating mga atleta at iba pang nagbibigay ng karangalan sa ating bansa
thesis-asr/audios/audio24_16.flac|ang tunay na ganda at halaga ng pilipinas ay nakikita natin dine lamang natin mapapansin at are rin ang nagbibigay lakas at pag asa sa ating lahat
thesis-asr/audios/audio20_10.flac|ganire kahalaga ang bawat isa sa atin at dine laang natin mapapakita ang tunay na pagmamahal sa ating bansa at kapwa pilipino
thesis-asr/audios/audio05_11.flac|masayahin lang talaga ang mga batangueno
thesis-asr/audios/audio18_15.flac|ngunit sa kabila ng lahat ng are mayroon pa rin tayong mga dahilanan upang magpatuloy at magpakatatag sa paglalakbay natin bilang isang bansa
thesis-asr/audios/audio06_15.flac|sa kabuuan dine sa pilipinas mayroong mga realidad na ito lamang naman ang nakikita
